id,sex,age,trace,Infected_Num
55627,female,17,[8],5
56526,female,40,"[0, 1, 2, 3, 4, 6, 8]",12
60149,male,33,"[0, 2, 3, 5, 7, 9]",3
60410,female,6,[8],2
60462,male,32,"[0, 3, 5, 6, 7]",8
60760,female,79,[3],4
62792,male,8,[4],1
63195,male,22,"[0, 3]",1
63900,male,22,"[9, 5]",1
64240,male,24,"[1, 7]",5
64704,female,7,[1],3
65918,female,31,"[0, 4, 6]",5
66740,female,55,[6],12
67764,female,3,[5],3
70376,male,34,"[9, 3, 4, 7]",1
72731,male,37,"[1, 6, 7, 8, 9]",2
73837,female,22,"[0, 2, 3, 4, 5, 7]",0
74072,female,59,"[6, 7]",5
74256,female,32,"[1, 4, 6, 7]",5
75973,female,40,"[0, 1, 3, 5, 6, 7, 8]",1
76142,female,78,[3],5
76886,male,60,[0],3
79075,female,29,"[1, 2, 5, 7, 9]",5
79175,male,1,[3],5
79198,female,1,[4],1
81044,female,34,"[8, 9, 4, 7]",7
84409,male,3,[7],2
84572,male,29,"[8, 0, 3]",3
86875,male,33,"[8, 0, 4]",8
88049,female,4,[4],3
88409,male,39,"[3, 5, 7]",4
88593,female,28,"[8, 3, 5, 6]",7
89131,female,75,[2],4
91099,male,9,[8],1
93519,female,18,[1],4
93603,female,15,[8],0
94815,male,54,"[2, 3, 4, 6, 8]",9
94866,female,57,"[0, 1, 2]",6
95797,female,38,"[1, 3]",6
97791,male,65,[0],2
99038,male,7,[2],1
100640,male,17,[7],2
100979,female,57,"[0, 3]",1
101200,male,11,[4],4
101959,female,6,[0],1
102598,female,24,"[9, 3]",9
102822,female,50,"[0, 2, 3, 6, 8, 9]",2
104010,female,27,[5],6
104283,male,56,"[0, 1, 2, 5, 9]",1
105430,female,33,"[0, 1, 2, 5, 7, 8]",8
106132,male,36,"[4, 7]",7
107061,female,21,"[0, 1, 7]",13
107208,female,78,[2],0
107698,female,21,"[8, 1, 5, 9]",2
110167,male,33,"[0, 3, 4]",0
110327,female,69,[7],1
112086,male,45,"[4, 5, 6, 7, 9]",3
113135,female,72,"[0, 1]",0
113182,male,70,"[3, 5]",8
113510,female,32,"[8, 9, 2, 7]",5
114876,male,53,"[2, 7]",5
118582,female,68,[4],1
119747,female,9,[5],1
119993,male,10,[7],2
120377,female,67,[0],1
120845,male,56,"[0, 6]",3
121276,male,74,[1],2
122069,male,39,"[0, 9]",0
123867,female,38,"[8, 3, 5]",1
125691,female,24,"[8, 9, 2, 4]",13
125793,female,24,"[0, 8, 7]",8
126790,male,59,"[3, 5, 6]",5
127557,female,1,[2],2
129678,female,7,[7],1
129730,female,19,[7],1
129786,female,63,[5],3
130328,female,18,[7],6
130461,male,48,"[1, 2, 3, 6]",0
130569,female,3,[3],1
130887,male,31,"[3, 4, 5, 7]",4
132174,female,54,"[1, 3, 7]",1
132736,male,14,[9],2
133683,female,28,"[8, 1, 5]",6
134355,male,60,"[0, 3, 4, 6, 7]",8
134409,female,46,"[2, 3, 4, 5]",3
134525,male,24,[1],0
134824,female,1,[1],2
134866,male,6,[9],0
136180,female,56,"[0, 9, 6]",6
136272,female,48,"[2, 5, 6]",6
136602,male,79,[3],7
136699,male,54,"[0, 9, 5]",5
138720,female,39,"[0, 1, 3, 7]",2
140080,female,58,"[1, 2, 9, 6]",4
140931,female,46,"[5, 7]",6
142120,female,76,"[2, 5]",3
144138,female,38,"[1, 3, 4, 6, 7]",3
144246,male,54,"[2, 3, 5, 7]",10
144403,male,35,"[2, 3, 4, 6, 8, 9]",2
146993,male,42,"[1, 5]",7
0,male,65,[0],9
7,male,18,"[3, 4]",1
8,male,33,"[0, 9, 2]",2
13,male,3,[9],0
40,female,43,[7],0
47,female,61,"[1, 5]",2
48,male,74,[3],4
54,male,13,"[9, 7]",1
59,male,63,[1],1
72,female,66,[0],2
74,male,7,[2],1
78,male,5,[8],3
93,female,72,[9],0
106,male,52,"[9, 2, 4, 1]",7
109,female,13,[1],2
121,female,49,[5],3
137,male,66,"[9, 5]",2
149,male,35,"[9, 6]",1
158,male,47,"[5, 6]",0
168,female,4,[4],0
177,male,23,"[8, 9]",2
195,female,48,"[8, 1]",2
205,male,23,"[1, 3, 9]",1
206,female,55,"[0, 1, 4, 7, 9]",2
220,male,34,"[0, 3, 6, 7]",0
221,female,68,[3],3
275,male,29,"[0, 9, 7]",3
292,female,22,"[8, 4, 7]",4
320,female,73,[4],3
342,female,13,[8],0
362,female,60,"[0, 3, 5, 7]",5
371,male,61,[0],0
374,male,71,"[2, 4]",3
377,female,40,"[8, 0, 2]",1
385,female,41,"[1, 6]",4
387,male,59,"[8, 1, 4, 7]",7
391,male,58,"[9, 3, 4]",2
406,male,61,[3],1
431,male,24,"[0, 2, 3, 6]",1
434,male,47,"[3, 4, 5]",7
465,female,2,[4],0
473,male,68,"[9, 5]",2
486,male,60,"[1, 5, 9]",12
494,female,29,"[9, 3, 4, 7]",1
537,female,18,[5],0
560,male,68,"[9, 2]",1
569,female,58,"[0, 1, 2, 4]",1
600,male,15,"[1, 5]",2
605,male,47,"[1, 3, 9]",2
610,male,40,"[0, 1, 4, 6]",4
619,female,38,"[1, 2, 6, 7, 9]",0
628,female,67,[9],1
629,female,53,"[8, 1]",1
650,male,78,[0],3
654,male,37,[5],0
700,male,67,[3],5
729,male,76,[2],1
738,female,59,"[8, 1, 3, 4]",5
749,male,50,"[8, 1, 2, 3]",4
790,female,14,[0],2
805,male,53,"[2, 3, 6]",1
811,male,2,[8],1
835,female,6,[6],1
843,female,59,[6],0
854,female,73,[9],1
879,female,35,"[0, 5]",0
888,female,70,[9],4
892,male,37,"[0, 2, 5, 6, 7, 8]",2
908,male,5,[0],1
930,female,7,[3],1
939,female,12,"[9, 3]",4
950,male,66,[7],1
954,male,51,"[4, 5, 7]",0
961,male,18,[2],0
965,male,26,"[9, 7]",1
966,female,45,"[9, 2, 4]",2
975,male,47,"[0, 1]",1
979,male,54,"[9, 5, 6]",0
985,male,45,"[9, 5, 7]",2
993,male,59,[6],3
1019,female,59,"[1, 7]",12
1038,female,26,"[2, 3, 7]",1
1049,female,47,"[9, 3]",0
1090,female,8,[6],1
1095,female,27,"[1, 3, 4, 8, 9]",1
1096,male,30,"[1, 2, 3, 7]",1
1104,female,44,"[1, 3, 6]",0
1107,female,12,[4],1
1111,male,7,[0],0
1114,female,12,[2],1
1143,female,50,"[8, 0]",9
1145,female,18,[1],3
1166,female,58,"[1, 2, 6]",1
1167,male,32,"[9, 2, 3, 5]",4
1168,male,16,"[2, 5]",2
1185,female,6,[3],2
1191,female,24,"[0, 2, 3, 7, 8]",6
1192,female,45,"[8, 9, 1, 0]",10
1195,female,71,[0],2
1197,female,33,"[0, 9, 6]",9
1211,male,59,"[1, 3, 6, 7]",4
1220,male,25,"[0, 1, 9]",6
1237,male,41,"[0, 1, 2, 3, 6, 9]",0
1271,male,51,"[9, 2]",3
1281,female,12,[1],4
1284,male,1,[1],0
1288,female,8,[5],3
1294,female,28,"[1, 6]",6
1303,female,48,"[0, 1, 3, 5]",1
1314,male,1,[0],2
1350,male,28,"[0, 7]",3
1353,male,29,"[0, 9, 3, 7]",5
1360,male,20,[0],5
1363,female,13,[6],2
1403,female,80,[8],1
1432,male,36,"[1, 3, 5, 6, 7]",2
1433,male,40,"[0, 3, 5, 6, 7, 8]",3
1451,male,16,"[0, 2]",1
1463,male,74,"[4, 7]",2
1464,female,16,[9],2
1466,male,72,[4],6
1475,male,51,"[9, 5]",1
1493,male,4,"[1, 7]",3
1496,male,37,"[8, 9, 5, 6]",6
1526,female,35,"[1, 2, 5, 6, 8]",0
1538,female,7,[3],2
1546,male,69,[1],5
1548,male,70,[5],2
1560,male,33,"[0, 2, 4, 5]",7
1562,female,41,"[2, 7]",3
1574,male,75,[6],1
1577,male,79,[9],3
1582,female,39,"[3, 5, 6, 7]",1
1611,female,45,"[0, 3, 5]",0
1616,male,14,[9],2
1626,male,10,[4],0
1642,female,49,"[5, 7]",1
1646,female,24,"[1, 5, 6, 7, 8, 9]",4
1650,male,41,"[1, 2, 7]",1
1665,male,37,"[0, 3, 5, 6]",11
1686,female,24,"[9, 2, 4, 5]",0
1698,male,9,[9],5
1707,female,36,"[2, 4, 6]",4
1718,male,53,"[5, 6]",1
1723,female,8,[8],5
1748,female,10,[1],1
1749,male,3,[5],1
1762,male,72,"[5, 7]",3
1767,male,43,"[9, 2, 5, 1]",0
1771,male,23,"[8, 1, 6]",10
1785,female,35,"[0, 8, 5]",11
1795,male,8,[5],1
1796,female,52,"[8, 3, 5]",4
1799,male,39,"[1, 2, 4, 8, 9]",0
1806,female,15,[5],0
1820,male,76,[6],1
1837,male,13,[6],1
1843,male,45,"[1, 6, 7]",2
1859,female,65,[2],5
1869,female,64,[9],3
1888,female,23,"[1, 4, 5, 6, 7, 8]",0
1900,female,24,"[9, 2, 5, 7]",1
1901,female,47,"[2, 3]",2
1910,male,73,[8],1
1925,male,42,"[0, 9, 2, 5]",0
1927,female,35,"[0, 1, 2, 3, 8]",1
1930,male,57,"[8, 9, 4, 1]",6
1934,female,27,"[0, 1, 2, 4, 5, 6]",6
1936,male,49,"[3, 4]",0
1946,male,55,"[9, 3, 4, 7]",3
1957,female,76,[4],5
1974,male,37,"[9, 4]",0
1987,male,40,"[8, 9, 2, 7]",5
2011,female,4,[2],0
2022,female,80,[6],5
2050,female,15,[4],0
2063,male,35,"[0, 8, 2, 5]",12
2071,male,6,[6],0
2073,female,36,"[9, 2]",6
2076,male,13,[5],6
2077,female,50,"[1, 5]",2
2079,male,9,[9],1
2084,female,79,[4],1
2121,female,5,[4],5
2129,male,36,"[1, 4]",0
2138,male,28,"[1, 2, 3, 5, 6, 9]",8
2146,female,63,"[0, 6, 7]",1
2152,male,2,[7],5
2156,male,52,"[8, 1, 7]",3
2157,male,3,[1],0
2158,male,17,"[0, 6]",0
2161,female,9,[2],1
2179,female,23,"[1, 2, 5, 6]",2
2213,female,18,"[9, 7]",1
2215,male,40,"[3, 4, 7, 8, 9]",4
2225,male,21,"[0, 3, 5]",3
2245,female,78,[0],4
2246,female,45,"[8, 0, 3]",1
2257,male,47,"[9, 6, 7]",3
2262,female,16,[6],0
2277,male,66,[9],2
2290,female,76,[3],0
2294,male,28,"[2, 3]",10
2296,male,40,"[0, 8, 4, 6]",1
2297,female,2,[5],0
2311,male,23,"[0, 1, 6, 7, 8]",1
2315,female,45,"[3, 4]",2
2366,male,68,"[1, 4, 5]",1
2372,female,42,"[2, 3]",0
2378,female,79,"[1, 4]",1
2403,female,6,[9],0
2404,female,63,"[0, 4]",3
2430,male,8,[4],1
2441,male,44,"[2, 4, 5, 7, 9]",2
2442,female,77,[5],0
2448,male,71,"[0, 5]",1
2475,female,54,"[8, 4, 7]",5
2505,male,79,"[3, 6]",0
2506,female,70,"[8, 5]",1
2507,female,18,[4],6
2549,male,79,[6],0
2553,female,17,[3],0
2556,female,5,"[1, 2]",1
2558,female,16,[9],1
2559,male,63,[1],0
2581,female,27,"[1, 6]",2
2588,male,77,[0],0
2589,female,37,"[0, 1, 4, 5, 7, 9]",0
2609,male,8,[6],0
2612,female,70,[4],1
2631,female,67,[2],2
2636,female,80,[3],7
2644,male,74,[4],2
2651,male,18,[1],2
2658,female,68,[8],2
2659,female,23,"[1, 2, 6, 9]",3
2687,male,70,"[2, 4]",0
2717,female,58,"[1, 7]",4
2727,male,36,"[1, 2, 4, 6]",2
2729,female,33,"[1, 3, 6, 9]",3
2739,female,37,"[0, 9, 4, 7]",8
2748,female,32,"[9, 5]",2
2761,male,24,"[4, 6, 7]",1
2773,male,68,[3],1
2786,male,56,"[1, 5, 6, 8, 9]",0
2797,male,32,"[8, 3, 6]",2
2802,female,42,[4],0
2804,female,39,"[8, 3, 6, 7]",0
2838,male,14,"[9, 3]",5
2845,male,52,"[3, 4, 7]",0
2858,male,53,"[0, 8]",0
2860,male,2,[9],3
2874,female,30,"[8, 3, 5, 6]",4
2883,male,23,"[0, 2]",1
2885,female,47,[9],0
2887,female,13,[9],2
2917,male,3,[8],9
2933,female,45,"[0, 1]",2
2945,female,69,[3],2
2948,female,57,"[0, 1, 5]",2
2959,female,42,"[8, 4, 5]",3
2974,female,22,"[0, 1, 2]",4
2977,male,41,"[1, 3, 9, 7]",0
2995,female,49,"[0, 5, 6, 7, 9]",7
3001,female,46,"[8, 0, 1]",7
3009,female,46,"[8, 2, 7]",9
3017,male,2,[9],1
3019,male,74,[3],0
3030,female,66,"[8, 2, 7]",3
3037,female,2,[5],0
3042,female,38,"[8, 2, 3, 5]",2
3055,male,18,[1],0
3057,female,80,[5],3
3088,female,42,"[0, 3, 5, 6, 7]",1
3101,male,12,[5],0
3105,male,55,"[2, 5]",0
3108,female,51,"[2, 6]",3
3109,female,77,[9],0
3130,female,56,[9],8
3145,female,56,"[8, 6, 7]",5
3146,female,17,"[6, 7]",2
3174,male,26,"[9, 6]",2
3175,female,14,[0],0
3178,male,20,[5],1
3182,female,29,"[8, 0, 4, 7]",0
3192,male,15,[4],1
3216,female,44,"[8, 0, 3, 5]",3
3228,female,23,"[1, 2, 5, 8, 9]",1
3232,male,75,[3],6
3262,male,50,"[0, 3, 7]",5
3264,male,45,[3],5
3269,female,73,[7],2
3276,female,48,"[8, 0, 2, 4]",0
3278,female,76,[9],2
3283,male,16,[9],5
3303,male,29,"[1, 5]",3
3310,male,26,"[0, 2, 5, 6, 7]",8
3343,female,47,"[0, 5, 6, 7]",1
3368,female,50,"[1, 3, 4, 6, 9]",4
3376,male,55,"[0, 3]",5
3382,male,58,[4],1
3423,female,57,"[5, 6]",0
3430,male,38,"[4, 6, 7]",5
3435,male,68,"[1, 7]",0
3437,male,48,"[0, 3, 6]",4
3449,male,4,[8],5
3454,male,23,"[0, 9, 5]",0
3465,male,55,"[9, 3]",2
3478,male,48,"[1, 6, 7]",0
3483,male,2,[4],8
3510,female,57,"[8, 4, 5, 6]",0
3518,female,45,"[0, 8]",2
3524,male,6,"[9, 4]",1
3536,male,29,"[1, 3, 5, 6, 9]",2
3564,male,76,[2],2
3589,female,46,"[0, 3, 4]",2
3592,female,25,"[9, 1, 6, 7]",5
3605,male,69,[6],1
3637,male,43,"[0, 8, 2]",3
3713,male,14,[7],10
3744,male,32,"[0, 9, 1, 8]",2
3745,female,28,"[9, 4, 5]",3
3763,male,14,[7],0
3808,female,11,[3],1
3819,female,15,[2],1
3832,female,42,"[2, 3, 4, 7, 9]",2
3836,male,4,[8],3
3840,female,40,"[0, 4, 6]",1
3841,male,53,"[1, 2, 3, 5, 6]",0
3859,female,4,[2],1
3862,male,59,[7],2
3864,female,46,[3],5
3885,female,19,[4],3
3895,male,18,[6],0
3902,male,76,[9],0
3918,female,5,[3],1
3928,female,46,"[4, 7]",3
3945,male,6,[0],0
3954,female,71,"[8, 4]",2
3956,female,25,"[0, 2]",4
3965,male,72,[8],2
3979,female,78,[8],1
3980,male,35,"[0, 3, 4, 6, 7, 8, 9]",0
3985,female,70,[8],2
3993,male,42,"[2, 3, 7]",5
4009,female,30,"[2, 6, 7]",3
4010,male,57,"[8, 2, 5]",5
4031,male,47,"[8, 1, 5, 7]",2
4040,female,34,"[0, 9, 4]",17
4055,female,54,"[0, 4, 6]",1
4067,female,39,"[0, 1, 2, 3, 4]",8
4075,male,25,"[0, 8, 3, 7]",2
4080,female,58,"[1, 3, 5]",0
4083,female,51,"[9, 2]",0
4107,female,13,[2],1
4112,male,27,"[8, 9, 2, 1]",3
4121,male,53,"[0, 3, 4, 5, 7, 8]",4
4131,female,49,"[8, 4]",2
4148,male,60,"[3, 4, 5, 7, 9]",3
4154,male,67,[0],0
4155,male,15,"[0, 3, 7]",0
4159,male,76,[8],0
4164,female,52,"[0, 1, 4, 5, 7]",0
4169,male,27,"[8, 4, 5, 7]",6
4172,female,47,"[8, 6]",3
4199,male,47,[2],3
4201,female,77,[8],0
4212,male,69,"[5, 7]",1
4223,female,20,"[2, 4]",0
4232,male,75,[3],6
4244,male,34,"[0, 9, 8]",3
4257,male,52,"[0, 5, 6]",3
4277,male,44,"[1, 3]",1
4282,male,73,[7],3
4308,female,54,"[1, 3, 6]",2
4320,female,68,"[9, 3]",1
4334,female,20,[0],0
4338,male,79,[0],4
4347,female,36,"[0, 9, 3]",5
4348,female,13,[0],2
4373,female,30,"[1, 2, 3, 7, 8, 9]",1
4374,female,42,"[8, 4]",2
4394,male,21,"[0, 1, 2, 3, 8]",2
4410,male,45,"[0, 4, 5, 7, 8]",1
4416,male,13,[3],1
4418,male,4,[2],2
4422,male,36,"[1, 2, 4, 6, 8]",2
4423,female,73,[0],3
4435,female,39,"[0, 5, 6, 7, 8]",0
4463,female,21,"[2, 3, 6, 8, 9]",2
4485,female,20,[0],1
4493,male,20,"[5, 6]",0
4494,male,62,[6],4
4495,female,1,[8],0
4543,female,32,"[1, 3]",1
4546,female,15,[6],8
4568,female,7,[9],0
4569,male,9,[1],2
4584,male,12,[5],1
4603,male,64,"[1, 2]",0
4611,male,6,[5],0
4619,male,80,"[9, 4]",0
4624,female,31,"[1, 4, 5, 6, 7]",13
4626,female,41,"[8, 3, 5]",1
4645,male,72,[5],0
4651,male,32,"[0, 1, 4, 7, 9]",2
4656,female,4,[8],0
4666,male,80,[7],2
4667,female,24,"[9, 3, 7]",2
4670,male,9,[6],0
4674,female,48,"[9, 4]",1
4678,male,54,"[8, 2, 4, 6]",2
4706,male,4,[0],3
4710,male,45,[8],2
4719,male,25,"[1, 2, 9, 7]",3
4727,female,19,[4],0
4744,female,17,[3],0
4749,male,60,"[9, 6]",1
4751,female,6,[0],1
4770,female,46,"[1, 3, 4, 5, 6, 8]",4
4778,female,53,"[2, 4]",0
4799,female,23,"[8, 1, 6]",1
4802,male,57,"[0, 4, 7]",0
4828,female,43,"[4, 5, 6]",0
4836,female,52,"[0, 2, 4]",0
4839,male,26,"[9, 4, 7]",6
4855,female,45,"[1, 3, 4]",2
4878,female,19,[3],1
4888,female,31,"[0, 1, 2, 3, 4, 8, 9]",2
4902,female,20,"[2, 3]",1
4923,female,30,"[0, 1, 6, 7]",1
4950,female,35,"[8, 1, 2, 4]",4
4972,female,78,[4],6
4996,male,58,"[8, 4, 6]",4
4999,female,34,"[0, 1, 3, 4, 6, 8, 9]",0
5001,male,13,[0],2
5006,female,50,[8],0
5011,female,74,[0],1
5012,male,46,"[0, 1, 9]",0
5034,female,52,"[8, 2, 4]",0
5050,female,26,"[8, 0, 6, 7]",2
5092,female,50,"[8, 2, 7]",2
5096,male,10,[3],0
5104,female,29,"[9, 1, 7]",1
5110,male,68,[2],1
5115,female,43,"[9, 2, 3]",6
5117,male,22,"[0, 4, 6, 7]",9
5122,male,51,"[0, 3, 6, 7]",2
5142,male,41,"[8, 1, 4]",2
5146,female,33,"[2, 3, 4, 6, 7]",3
5155,female,27,"[8, 2, 6]",1
5170,male,35,"[8, 1, 2, 6]",0
5186,male,72,[7],3
5208,male,27,"[9, 3, 7]",1
5244,male,80,[0],1
5253,female,33,"[9, 4, 6]",2
5256,female,48,"[0, 2, 7]",2
5282,female,6,[5],2
5291,male,2,[8],2
5300,female,36,"[0, 1, 2]",8
5304,female,59,"[0, 4, 5, 6, 8]",1
5311,male,21,"[2, 4, 5, 7]",3
5319,male,7,[7],3
5320,male,6,[8],0
5322,female,46,"[0, 9, 4]",2
5348,male,62,[1],3
5356,male,13,[2],4
5362,female,3,[1],7
5369,male,17,[1],1
5375,male,5,[4],1
5380,male,42,[9],3
5387,female,22,"[0, 1, 3, 6, 7, 8]",1
5402,female,40,"[1, 4, 5, 6, 8]",1
5404,male,45,"[8, 9, 2, 6]",5
5408,female,39,"[0, 8, 5, 6]",2
5409,male,50,"[9, 2]",2
5420,male,7,"[2, 4]",1
5435,male,68,[1],3
5464,male,55,"[1, 4, 6, 7]",4
5465,male,57,"[8, 9, 1]",5
5469,male,42,"[0, 9, 6]",0
5488,male,69,[8],9
5492,female,23,"[8, 9, 3, 4]",10
5497,female,60,"[8, 0, 6]",1
5507,male,47,"[2, 5]",0
5509,female,32,"[1, 2, 3, 4, 5, 7, 8]",2
5513,male,49,"[0, 1, 3]",0
5522,male,60,[6],3
5534,female,29,"[8, 2]",1
5551,male,26,"[0, 1, 3, 4]",1
5555,male,65,"[0, 5, 6]",7
5556,female,69,[7],0
5567,female,40,"[8, 3, 5, 7]",0
5606,male,62,[3],7
5642,female,18,"[8, 2]",2
5647,male,58,[8],1
5652,male,38,"[0, 8, 2, 5]",0
5661,female,17,[8],1
5673,male,45,"[0, 8, 3, 9]",0
5677,female,52,[6],0
5708,female,29,"[1, 3, 6, 7, 9]",4
5723,female,33,"[8, 0, 4]",1
5738,female,54,"[9, 3]",3
5740,female,54,[4],2
5748,male,61,[3],1
5751,male,65,[8],10
5767,female,22,"[2, 3, 4, 5, 7]",1
5772,female,59,"[8, 4, 6, 7]",2
5787,male,60,"[8, 2, 3, 5]",0
5817,female,45,"[1, 2, 9]",3
5819,male,63,[9],3
5834,male,40,"[9, 4, 6, 7]",5
5870,female,6,[6],2
5883,male,9,[8],0
5894,female,54,"[0, 1]",2
5895,male,24,"[3, 4, 6]",3
5932,male,40,"[0, 1, 5, 6, 7, 9]",10
5936,female,40,"[0, 1, 2, 4, 6, 7]",2
5949,male,9,[2],0
5950,female,50,"[0, 6, 7]",4
5961,male,1,[9],5
5986,male,18,[6],0
6000,female,1,[4],1
6016,male,32,"[2, 3, 7]",6
6022,male,55,"[0, 5]",0
6025,male,52,"[1, 3]",1
6043,male,38,"[9, 5, 1, 7]",1
6093,female,8,[2],3
6119,female,24,"[2, 5, 6, 8, 9]",4
6123,female,74,"[6, 7]",0
6134,female,27,[5],2
6154,female,13,[4],6
6160,male,18,[3],0
6176,female,28,"[2, 3]",2
6178,female,33,"[0, 4, 6, 7]",4
6180,female,56,"[0, 1, 6]",1
6200,male,5,[3],2
6220,female,35,"[0, 1, 2, 6, 8]",0
6230,female,40,"[3, 4, 6, 7, 8]",1
6234,female,64,[8],4
6238,male,41,"[8, 3]",3
6260,male,45,"[2, 3, 5, 7, 8]",1
6263,male,40,"[1, 2, 3, 4, 8, 9]",2
6265,female,28,"[0, 1, 7, 8, 9]",5
6270,male,64,[1],0
6293,female,76,[9],0
6301,male,58,"[8, 9, 5]",4
6303,male,47,"[1, 2, 5]",1
6309,male,53,"[0, 2, 5]",2
6322,female,40,"[1, 2]",9
6332,male,22,"[8, 1, 2, 3]",0
6335,female,16,"[3, 6]",6
6336,male,36,"[9, 6, 7]",0
6350,male,5,"[8, 7]",3
6379,male,58,[1],2
6385,female,34,"[1, 2, 5, 6, 7, 9]",4
6392,female,45,"[9, 4]",2
6400,female,2,[2],6
6402,female,45,"[2, 3, 4]",0
6415,male,28,"[0, 2, 3, 6, 7]",9
6416,male,67,[3],4
6417,female,57,"[0, 9, 2, 6]",0
6444,male,43,"[1, 6]",3
6461,male,46,"[9, 2]",1
6469,female,43,"[0, 3]",0
6475,male,26,"[0, 2]",10
6482,female,44,"[9, 4, 5, 7]",1
6495,female,38,"[0, 3, 5, 6, 8]",9
6551,female,73,[5],10
6566,male,56,"[3, 5, 6, 8, 9]",6
6572,female,9,[7],0
6583,male,69,"[0, 4]",0
6607,male,39,"[8, 2, 5, 6]",13
6613,female,21,"[8, 3, 4, 6]",1
6616,female,43,"[9, 6, 7]",0
6619,male,39,"[9, 3, 1, 7]",1
6654,female,24,"[1, 2, 3, 4, 9]",0
6665,male,74,[1],1
6673,female,41,"[0, 5, 6]",1
6683,male,18,[3],3
6697,male,67,[1],1
6770,female,21,"[0, 1, 3, 6]",2
6788,female,35,"[0, 2]",7
6807,male,76,[9],0
6808,female,13,[2],4
6824,female,46,"[0, 1, 3]",4
6831,female,43,[6],1
6832,female,43,"[1, 6, 7]",5
6843,male,72,[7],1
6863,male,79,[8],1
6866,female,12,[1],3
6881,female,80,"[9, 2]",1
6884,female,50,"[0, 7]",2
6909,female,49,[8],0
6940,male,13,[7],0
6943,female,22,"[0, 9, 2]",1
6952,female,30,"[8, 9, 2, 1]",4
6955,female,8,[9],0
6957,male,60,"[8, 4]",1
6959,female,51,"[2, 3, 4, 6, 8]",3
6966,male,14,"[9, 6]",1
6971,male,3,[0],1
6977,male,80,[1],1
6994,female,4,[6],2
7022,female,79,[0],3
7028,female,7,[9],1
7052,female,11,[7],0
7055,female,33,"[0, 3, 7]",0
7058,female,44,"[0, 9, 4, 5]",2
7068,female,68,[6],5
7083,male,19,"[5, 6]",0
7085,male,59,"[0, 1, 3, 4, 6, 8]",5
7104,male,54,"[0, 3, 6]",2
7116,male,15,[5],3
7119,female,58,"[1, 4, 5, 9]",1
7120,male,32,"[1, 3, 4, 7, 9]",3
7123,female,20,[1],3
7127,female,22,"[0, 1, 3, 6, 7]",0
7129,male,69,[8],0
7146,female,59,"[8, 2, 3]",1
7148,male,31,"[0, 1, 2, 6]",0
7178,male,49,"[8, 5]",2
7187,female,11,[2],2
7208,female,24,"[0, 3, 6]",2
7212,male,14,"[4, 6]",2
7218,male,4,[1],2
7224,male,70,[2],3
7229,female,7,[2],6
7254,female,40,"[8, 1, 6]",2
7285,female,58,"[0, 1, 2, 8, 9]",1
7307,male,15,[7],3
7311,female,3,"[1, 4]",3
7318,female,10,[3],2
7319,male,27,"[1, 4, 5, 7]",1
7327,female,76,[8],1
7352,male,12,[5],3
7353,male,47,"[9, 2, 7]",8
7366,male,26,"[1, 2, 3, 6, 9]",4
7371,female,50,"[3, 7]",1
7401,female,41,"[1, 2, 3, 5, 6]",1
7403,male,64,[5],5
7407,male,53,"[1, 4, 5, 6, 7]",0
7420,female,63,[3],0
7431,male,37,"[0, 1, 3, 7, 9]",1
7443,female,5,[0],2
