id,sex,age,trace,Infected_Num,0,1,2,3,4,5,6,7,8,9,place_been_to,trans_risk
144,male,40,"[0, 5, 7]",0,1,0,0,0,0,1,0,1,0,0,3,1
145,male,50,[9],1,0,0,0,0,0,0,0,0,0,1,1,1
147,male,1,[5],3,0,0,0,0,0,1,0,0,0,0,1,2
148,male,23,"[5, 6]",3,0,0,0,0,0,1,1,0,0,0,2,2
149,female,58,"[5, 7]",0,0,0,0,0,0,1,0,1,0,0,2,1
154,female,1,[6],1,0,0,0,0,0,0,1,0,0,0,1,1
155,female,58,"[0, 3, 6]",2,1,0,0,1,0,0,1,0,0,0,3,1
176,male,42,"[1, 4]",2,0,1,0,0,1,0,0,0,0,0,2,1
178,male,16,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
181,female,35,"[0, 5, 7]",4,1,0,0,0,0,1,0,1,0,0,3,2
183,female,25,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
188,male,28,"[3, 6]",1,0,0,0,1,0,0,1,0,0,0,2,1
190,female,61,[2],1,0,0,1,0,0,0,0,0,0,0,1,1
191,female,56,"[1, 5]",1,0,1,0,0,0,1,0,0,0,0,2,1
201,female,22,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
202,male,71,[3],1,0,0,0,1,0,0,0,0,0,0,1,1
204,male,46,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
205,male,42,[5],0,0,0,0,0,0,1,0,0,0,0,1,1
207,male,23,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
209,male,77,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
214,male,46,[6],2,0,0,0,0,0,0,1,0,0,0,1,1
215,male,34,"[8, 1, 2]",3,0,1,1,0,0,0,0,0,1,0,3,2
219,male,26,"[4, 7]",0,0,0,0,0,1,0,0,1,0,0,2,1
220,male,10,[0],1,1,0,0,0,0,0,0,0,0,0,1,1
223,female,1,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
226,female,7,[2],1,0,0,1,0,0,0,0,0,0,0,1,1
230,male,16,[5],2,0,0,0,0,0,1,0,0,0,0,1,1
244,female,30,"[8, 4]",2,0,0,0,0,1,0,0,0,1,0,2,1
251,female,15,"[5, 6]",0,0,0,0,0,0,1,1,0,0,0,2,1
253,female,39,[9],2,0,0,0,0,0,0,0,0,0,1,1,1
257,female,47,"[2, 6]",4,0,0,1,0,0,0,1,0,0,0,2,2
261,female,50,"[0, 4]",2,1,0,0,0,1,0,0,0,0,0,2,1
264,male,44,[0],1,1,0,0,0,0,0,0,0,0,0,1,1
267,female,17,[5],0,0,0,0,0,0,1,0,0,0,0,1,1
273,female,60,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
274,male,6,[4],1,0,0,0,0,1,0,0,0,0,0,1,1
288,female,12,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
293,male,51,"[0, 4]",0,1,0,0,0,1,0,0,0,0,0,2,1
296,female,26,"[1, 3, 5]",0,0,1,0,1,0,1,0,0,0,0,3,1
303,female,7,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
304,male,12,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
305,female,78,[9],4,0,0,0,0,0,0,0,0,0,1,1,2
317,male,25,"[5, 6, 7]",0,0,0,0,0,0,1,1,1,0,0,3,1
332,male,14,[8],1,0,0,0,0,0,0,0,0,1,0,1,1
336,male,31,[6],2,0,0,0,0,0,0,1,0,0,0,1,1
337,male,11,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
341,male,55,"[3, 6]",0,0,0,0,1,0,0,1,0,0,0,2,1
343,female,46,"[1, 7]",3,0,1,0,0,0,0,0,1,0,0,2,2
346,male,50,[0],4,1,0,0,0,0,0,0,0,0,0,1,2
358,male,49,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
359,female,76,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
361,female,70,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
372,male,47,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
383,female,8,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
387,male,42,[6],3,0,0,0,0,0,0,1,0,0,0,1,2
391,male,79,[8],0,0,0,0,0,0,0,0,0,1,0,1,1
393,female,41,[0],2,1,0,0,0,0,0,0,0,0,0,1,1
397,male,61,[9],1,0,0,0,0,0,0,0,0,0,1,1,1
399,male,42,[2],1,0,0,1,0,0,0,0,0,0,0,1,1
404,female,30,[5],0,0,0,0,0,0,1,0,0,0,0,1,1
409,female,27,"[8, 0, 5]",0,1,0,0,0,0,1,0,0,1,0,3,1
413,female,80,[1],2,0,1,0,0,0,0,0,0,0,0,1,1
420,female,49,"[9, 3, 7]",0,0,0,0,1,0,0,0,1,0,1,3,1
429,female,31,"[3, 7]",3,0,0,0,1,0,0,0,1,0,0,2,2
430,female,20,[7],1,0,0,0,0,0,0,0,1,0,0,1,1
434,male,11,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
436,female,39,"[1, 4]",0,0,1,0,0,1,0,0,0,0,0,2,1
440,female,18,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
444,male,79,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
452,female,25,"[0, 7]",1,1,0,0,0,0,0,0,1,0,0,2,1
462,female,61,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
464,male,21,"[3, 4]",5,0,0,0,1,1,0,0,0,0,0,2,3
466,female,80,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
468,male,76,[0],1,1,0,0,0,0,0,0,0,0,0,1,1
470,male,55,[9],1,0,0,0,0,0,0,0,0,0,1,1,1
471,male,49,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
478,female,79,[1],2,0,1,0,0,0,0,0,0,0,0,1,1
486,male,11,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
491,male,11,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
500,male,30,"[4, 6]",6,0,0,0,0,1,0,1,0,0,0,2,3
508,female,5,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
518,male,25,[7],2,0,0,0,0,0,0,0,1,0,0,1,1
522,male,30,"[0, 8, 5]",1,1,0,0,0,0,1,0,0,1,0,3,1
524,female,45,"[2, 3]",2,0,0,1,1,0,0,0,0,0,0,2,1
530,female,63,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
533,female,16,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
537,female,42,[0],3,1,0,0,0,0,0,0,0,0,0,1,2
540,male,7,[7],1,0,0,0,0,0,0,0,1,0,0,1,1
544,female,15,[0],2,1,0,0,0,0,0,0,0,0,0,1,1
547,male,17,[5],2,0,0,0,0,0,1,0,0,0,0,1,1
551,male,6,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
554,female,78,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
558,female,27,"[9, 1]",4,0,1,0,0,0,0,0,0,0,1,2,2
563,female,43,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
570,female,38,"[8, 1, 5, 7]",5,0,1,0,0,0,1,0,1,1,0,4,3
572,male,72,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
574,female,58,"[8, 3]",1,0,0,0,1,0,0,0,0,1,0,2,1
577,female,60,[4],2,0,0,0,0,1,0,0,0,0,0,1,1
581,female,76,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
588,male,39,[6],1,0,0,0,0,0,0,1,0,0,0,1,1
608,female,23,"[1, 3]",13,0,1,0,1,0,0,0,0,0,0,2,3
609,female,59,"[2, 4]",0,0,0,1,0,1,0,0,0,0,0,2,1
616,female,47,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
620,female,80,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
627,male,27,"[0, 4, 6]",4,1,0,0,0,1,0,1,0,0,0,3,2
629,male,30,[8],2,0,0,0,0,0,0,0,0,1,0,1,1
633,male,18,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
636,female,61,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
637,male,25,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
640,male,19,[9],1,0,0,0,0,0,0,0,0,0,1,1,1
644,female,78,[1],1,0,1,0,0,0,0,0,0,0,0,1,1
647,female,61,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
648,male,63,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
649,female,13,[5],2,0,0,0,0,0,1,0,0,0,0,1,1
657,male,47,[4],1,0,0,0,0,1,0,0,0,0,0,1,1
661,male,18,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
666,female,20,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
670,male,24,"[9, 3]",0,0,0,0,1,0,0,0,0,0,1,2,1
674,female,13,[0],1,1,0,0,0,0,0,0,0,0,0,1,1
679,female,5,[4],1,0,0,0,0,1,0,0,0,0,0,1,1
684,female,58,"[2, 3]",0,0,0,1,1,0,0,0,0,0,0,2,1
696,male,10,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
700,female,15,[1],1,0,1,0,0,0,0,0,0,0,0,1,1
703,male,19,[0],1,1,0,0,0,0,0,0,0,0,0,1,1
704,male,80,[0],1,1,0,0,0,0,0,0,0,0,0,1,1
710,female,52,[7],8,0,0,0,0,0,0,0,1,0,0,1,3
716,female,48,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
719,male,47,[1],1,0,1,0,0,0,0,0,0,0,0,1,1
728,male,32,"[0, 7]",1,1,0,0,0,0,0,0,1,0,0,2,1
733,male,74,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
739,male,45,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
741,female,23,"[8, 1]",7,0,1,0,0,0,0,0,0,1,0,2,3
747,female,57,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
749,male,36,[0],1,1,0,0,0,0,0,0,0,0,0,1,1
752,male,9,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
754,female,43,"[0, 1]",0,1,1,0,0,0,0,0,0,0,0,2,1
759,female,10,[8],0,0,0,0,0,0,0,0,0,1,0,1,1
761,female,10,"[8, 7]",0,0,0,0,0,0,0,0,1,1,0,2,1
762,male,78,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
765,female,41,"[5, 7]",0,0,0,0,0,0,1,0,1,0,0,2,1
767,male,17,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
773,female,22,[9],6,0,0,0,0,0,0,0,0,0,1,1,3
779,male,10,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
782,male,71,[8],1,0,0,0,0,0,0,0,0,1,0,1,1
788,female,29,"[0, 3, 5, 6]",1,1,0,0,1,0,1,1,0,0,0,4,1
791,female,66,[5],0,0,0,0,0,0,1,0,0,0,0,1,1
797,male,42,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
807,male,41,"[9, 3, 1]",1,0,1,0,1,0,0,0,0,0,1,3,1
809,male,12,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
811,female,33,"[9, 7]",0,0,0,0,0,0,0,0,1,0,1,2,1
818,male,21,"[8, 7]",1,0,0,0,0,0,0,0,1,1,0,2,1
820,male,17,[2],2,0,0,1,0,0,0,0,0,0,0,1,1
826,female,7,[9],1,0,0,0,0,0,0,0,0,0,1,1,1
827,male,7,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
832,male,43,"[3, 7]",4,0,0,0,1,0,0,0,1,0,0,2,2
837,male,60,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
841,male,32,"[2, 4]",1,0,0,1,0,1,0,0,0,0,0,2,1
843,male,6,[6],5,0,0,0,0,0,0,1,0,0,0,1,3
847,female,15,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
848,male,48,[4],1,0,0,0,0,1,0,0,0,0,0,1,1
851,female,4,[5],0,0,0,0,0,0,1,0,0,0,0,1,1
857,female,50,"[0, 6]",11,1,0,0,0,0,0,1,0,0,0,2,3
859,male,14,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
866,female,15,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
869,male,4,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
871,female,19,"[2, 4]",2,0,0,1,0,1,0,0,0,0,0,2,1
872,male,58,[8],5,0,0,0,0,0,0,0,0,1,0,1,3
875,male,53,[7],1,0,0,0,0,0,0,0,1,0,0,1,1
879,male,78,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
881,male,9,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
883,male,45,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
884,female,19,"[8, 9]",1,0,0,0,0,0,0,0,0,1,1,2,1
900,female,16,"[8, 1, 6]",3,0,1,0,0,0,0,1,0,1,0,3,2
909,female,51,[8],6,0,0,0,0,0,0,0,0,1,0,1,3
914,male,22,[9],9,0,0,0,0,0,0,0,0,0,1,1,3
915,female,38,"[0, 9, 4, 7]",2,1,0,0,0,1,0,0,1,0,1,4,1
923,male,51,"[8, 1]",0,0,1,0,0,0,0,0,0,1,0,2,1
926,female,3,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
932,male,9,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
933,female,71,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
934,male,32,[5],3,0,0,0,0,0,1,0,0,0,0,1,2
943,female,20,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
944,male,29,"[3, 5]",2,0,0,0,1,0,1,0,0,0,0,2,1
947,female,30,"[1, 6]",1,0,1,0,0,0,0,1,0,0,0,2,1
949,female,78,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
952,male,69,[3],1,0,0,0,1,0,0,0,0,0,0,1,1
957,male,27,[4],2,0,0,0,0,1,0,0,0,0,0,1,1
961,male,35,"[3, 5]",1,0,0,0,1,0,1,0,0,0,0,2,1
963,male,32,"[8, 3, 5]",1,0,0,0,1,0,1,0,0,1,0,3,1
968,male,16,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
981,male,21,"[4, 7]",1,0,0,0,0,1,0,0,1,0,0,2,1
982,female,44,"[3, 5]",7,0,0,0,1,0,1,0,0,0,0,2,3
996,male,64,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
1001,female,18,[2],2,0,0,1,0,0,0,0,0,0,0,1,1
1002,male,50,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
1005,female,51,"[9, 5]",0,0,0,0,0,0,1,0,0,0,1,2,1
1007,male,58,"[9, 7]",0,0,0,0,0,0,0,0,1,0,1,2,1
1012,male,36,[7],1,0,0,0,0,0,0,0,1,0,0,1,1
1020,male,29,"[4, 5]",0,0,0,0,0,1,1,0,0,0,0,2,1
1022,male,59,[3],2,0,0,0,1,0,0,0,0,0,0,1,1
1042,female,17,[6],1,0,0,0,0,0,0,1,0,0,0,1,1
1044,male,13,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
1046,male,53,[4],1,0,0,0,0,1,0,0,0,0,0,1,1
1047,female,72,[9],3,0,0,0,0,0,0,0,0,0,1,1,2
1050,female,4,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
1051,female,67,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
1052,male,5,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
1053,female,38,"[9, 3]",0,0,0,0,1,0,0,0,0,0,1,2,1
1055,male,23,"[2, 3, 6]",1,0,0,1,1,0,0,1,0,0,0,3,1
1061,male,65,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
1065,female,76,[5],2,0,0,0,0,0,1,0,0,0,0,1,1
1074,female,18,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
1075,female,56,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
1078,male,46,[3],1,0,0,0,1,0,0,0,0,0,0,1,1
1079,female,59,[9],1,0,0,0,0,0,0,0,0,0,1,1,1
1084,male,47,"[0, 8]",2,1,0,0,0,0,0,0,0,1,0,2,1
1089,female,48,"[6, 7]",3,0,0,0,0,0,0,1,1,0,0,2,2
1093,male,60,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
1094,female,64,[8],1,0,0,0,0,0,0,0,0,1,0,1,1
1096,female,44,"[8, 2]",0,0,0,1,0,0,0,0,0,1,0,2,1
1103,male,74,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
1104,female,26,"[0, 3]",0,1,0,0,1,0,0,0,0,0,0,2,1
1110,female,26,[4],5,0,0,0,0,1,0,0,0,0,0,1,3
1119,male,64,[3],1,0,0,0,1,0,0,0,0,0,0,1,1
1120,female,32,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
1121,female,12,[8],1,0,0,0,0,0,0,0,0,1,0,1,1
1124,female,29,"[2, 6]",5,0,0,1,0,0,0,1,0,0,0,2,3
1125,female,49,[3],4,0,0,0,1,0,0,0,0,0,0,1,2
1129,female,26,[6],1,0,0,0,0,0,0,1,0,0,0,1,1
1130,male,35,[0],3,1,0,0,0,0,0,0,0,0,0,1,2
1137,female,42,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
1143,female,66,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
1146,female,36,"[8, 3, 5]",2,0,0,0,1,0,1,0,0,1,0,3,1
1151,female,52,"[9, 2, 5]",0,0,0,1,0,0,1,0,0,0,1,3,1
1152,male,34,"[0, 3, 5]",14,1,0,0,1,0,1,0,0,0,0,3,3
1161,male,38,[2],1,0,0,1,0,0,0,0,0,0,0,1,1
1163,female,19,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
1167,male,14,[8],0,0,0,0,0,0,0,0,0,1,0,1,1
1170,male,5,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
1175,female,17,[1],1,0,1,0,0,0,0,0,0,0,0,1,1
1177,male,15,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
1181,male,24,"[3, 4, 5, 7, 8]",3,0,0,0,1,1,1,0,1,1,0,5,2
1185,female,24,"[8, 2, 5]",0,0,0,1,0,0,1,0,0,1,0,3,1
1196,male,50,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
1197,male,76,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
1201,female,21,"[1, 2, 3]",4,0,1,1,1,0,0,0,0,0,0,3,2
1206,male,50,[6],3,0,0,0,0,0,0,1,0,0,0,1,2
1210,female,3,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
1212,female,55,[1],1,0,1,0,0,0,0,0,0,0,0,1,1
1213,female,28,"[1, 5]",2,0,1,0,0,0,1,0,0,0,0,2,1
1226,male,4,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
1236,female,2,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
1237,female,11,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
1240,female,48,"[0, 6]",1,1,0,0,0,0,0,1,0,0,0,2,1
1244,female,56,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
1248,male,41,"[9, 7]",2,0,0,0,0,0,0,0,1,0,1,2,1
1250,female,19,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
1252,male,13,[1],1,0,1,0,0,0,0,0,0,0,0,1,1
1263,female,39,"[9, 2]",1,0,0,1,0,0,0,0,0,0,1,2,1
1270,male,30,"[8, 9]",0,0,0,0,0,0,0,0,0,1,1,2,1
1271,female,9,[4],1,0,0,0,0,1,0,0,0,0,0,1,1
1274,female,6,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
1281,female,40,"[3, 7]",2,0,0,0,1,0,0,0,1,0,0,2,1
1283,male,30,[3],10,0,0,0,1,0,0,0,0,0,0,1,3
1284,female,59,"[1, 4]",0,0,1,0,0,1,0,0,0,0,0,2,1
1289,male,43,[2],2,0,0,1,0,0,0,0,0,0,0,1,1
1293,female,15,[8],0,0,0,0,0,0,0,0,0,1,0,1,1
1295,male,54,[9],1,0,0,0,0,0,0,0,0,0,1,1,1
1298,male,14,[0],3,1,0,0,0,0,0,0,0,0,0,1,2
1300,male,34,"[8, 0, 1]",2,1,1,0,0,0,0,0,0,1,0,3,1
1311,female,54,[1],1,0,1,0,0,0,0,0,0,0,0,1,1
1312,female,1,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
1314,female,28,"[2, 5]",0,0,0,1,0,0,1,0,0,0,0,2,1
1316,male,3,[0],0,1,0,0,0,0,0,0,0,0,0,1,1
1318,female,27,"[1, 3, 5, 9]",0,0,1,0,1,0,1,0,0,0,1,4,1
1321,female,26,"[0, 4]",6,1,0,0,0,1,0,0,0,0,0,2,3
1323,female,60,"[9, 6]",0,0,0,0,0,0,0,1,0,0,1,2,1
1327,male,33,"[0, 9, 2, 3]",9,1,0,1,1,0,0,0,0,0,1,4,3
1328,female,27,"[0, 9, 2]",4,1,0,1,0,0,0,0,0,0,1,3,2
1329,male,69,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
1330,male,52,"[1, 3]",9,0,1,0,1,0,0,0,0,0,0,2,3
1336,female,76,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
1340,male,50,[9],2,0,0,0,0,0,0,0,0,0,1,1,1
1345,female,73,[0],1,1,0,0,0,0,0,0,0,0,0,1,1
1351,male,21,"[1, 3]",0,0,1,0,1,0,0,0,0,0,0,2,1
1352,female,59,"[2, 5]",1,0,0,1,0,0,1,0,0,0,0,2,1
1357,female,52,"[4, 7]",0,0,0,0,0,1,0,0,1,0,0,2,1
1361,female,41,"[9, 6]",2,0,0,0,0,0,0,1,0,0,1,2,1
1368,female,33,"[8, 2, 3, 6]",0,0,0,1,1,0,0,1,0,1,0,4,1
1369,male,80,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
1371,female,15,[2],1,0,0,1,0,0,0,0,0,0,0,1,1
1380,female,13,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
1386,male,47,"[1, 6, 9]",0,0,1,0,0,0,0,1,0,0,1,3,1
1396,male,75,[7],1,0,0,0,0,0,0,0,1,0,0,1,1
1401,male,4,[0],2,1,0,0,0,0,0,0,0,0,0,1,1
1406,female,53,[8],0,0,0,0,0,0,0,0,0,1,0,1,1
1412,male,46,"[9, 5]",1,0,0,0,0,0,1,0,0,0,1,2,1
1415,female,46,[8],9,0,0,0,0,0,0,0,0,1,0,1,3
1417,male,9,[7],2,0,0,0,0,0,0,0,1,0,0,1,1
1424,male,74,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
1426,male,67,[9],1,0,0,0,0,0,0,0,0,0,1,1,1
1435,female,27,"[8, 2, 4]",5,0,0,1,0,1,0,0,0,1,0,3,3
1439,female,30,"[1, 5]",4,0,1,0,0,0,1,0,0,0,0,2,2
1445,male,16,[1],2,0,1,0,0,0,0,0,0,0,0,1,1
1446,female,6,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
1448,female,53,[3],6,0,0,0,1,0,0,0,0,0,0,1,3
1458,female,72,[7],1,0,0,0,0,0,0,0,1,0,0,1,1
1462,male,48,[7],4,0,0,0,0,0,0,0,1,0,0,1,2
1475,female,21,"[0, 7]",2,1,0,0,0,0,0,0,1,0,0,2,1
1483,male,58,[3],1,0,0,0,1,0,0,0,0,0,0,1,1
1489,female,47,[5],0,0,0,0,0,0,1,0,0,0,0,1,1
1494,female,42,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
1499,female,6,[5],0,0,0,0,0,0,1,0,0,0,0,1,1
1500,male,1,[1],1,0,1,0,0,0,0,0,0,0,0,1,1
1508,male,67,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
1510,male,54,[9],3,0,0,0,0,0,0,0,0,0,1,1,2
1512,male,49,"[1, 5, 9]",1,0,1,0,0,0,1,0,0,0,1,3,1
1518,female,80,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
1520,female,35,[2],7,0,0,1,0,0,0,0,0,0,0,1,3
1523,female,32,"[0, 1, 5]",2,1,1,0,0,0,1,0,0,0,0,3,1
1525,male,52,[7],2,0,0,0,0,0,0,0,1,0,0,1,1
1532,male,53,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
1535,female,59,[7],7,0,0,0,0,0,0,0,1,0,0,1,3
1537,male,45,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
1538,female,54,"[5, 6]",2,0,0,0,0,0,1,1,0,0,0,2,1
1542,male,76,[0],1,1,0,0,0,0,0,0,0,0,0,1,1
1546,female,44,[0],5,1,0,0,0,0,0,0,0,0,0,1,3
1547,female,51,"[1, 6, 7]",1,0,1,0,0,0,0,1,1,0,0,3,1
1552,male,67,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
