id,sex,age,trace,Infected_Num,place_been_to,trans_risk
619,female,38,"[1, 2, 6, 7, 9]",0,5,1
628,female,67,[9],1,1,1
629,female,53,"[8, 1]",1,2,1
650,male,78,[0],3,1,2
654,male,37,[5],0,1,1
700,male,67,[3],5,1,2
729,male,76,[2],1,1,1
738,female,59,"[8, 1, 3, 4]",5,4,2
749,male,50,"[8, 1, 2, 3]",4,4,2
790,female,14,[0],2,1,2
805,male,53,"[2, 3, 6]",1,3,1
811,male,2,[8],1,1,1
835,female,6,[6],1,1,1
843,female,59,[6],0,1,1
854,female,73,[9],1,1,1
879,female,35,"[0, 5]",0,2,1
888,female,70,[9],4,1,2
892,male,37,"[0, 2, 5, 6, 7, 8]",2,6,2
908,male,5,[0],1,1,1
930,female,7,[3],1,1,1
939,female,12,"[9, 3]",4,2,2
950,male,66,[7],1,1,1
954,male,51,"[4, 5, 7]",0,3,1
961,male,18,[2],0,1,1
965,male,26,"[9, 7]",1,2,1
966,female,45,"[9, 2, 4]",2,3,2
975,male,47,"[0, 1]",1,2,1
979,male,54,"[9, 5, 6]",0,3,1
985,male,45,"[9, 5, 7]",2,3,2
993,male,59,[6],3,1,2
1019,female,59,"[1, 7]",12,2,3
1038,female,26,"[2, 3, 7]",1,3,1
1049,female,47,"[9, 3]",0,2,1
1090,female,8,[6],1,1,1
1095,female,27,"[1, 3, 4, 8, 9]",1,5,1
1096,male,30,"[1, 2, 3, 7]",1,4,1
1104,female,44,"[1, 3, 6]",0,3,1
1107,female,12,[4],1,1,1
1111,male,7,[0],0,1,1
1114,female,12,[2],1,1,1
1143,female,50,"[8, 0]",9,2,3
1145,female,18,[1],3,1,2
1166,female,58,"[1, 2, 6]",1,3,1
1167,male,32,"[9, 2, 3, 5]",4,4,2
1168,male,16,"[2, 5]",2,2,2
1185,female,6,[3],2,1,2
1191,female,24,"[0, 2, 3, 7, 8]",6,5,3
1192,female,45,"[8, 9, 1, 0]",10,4,3
1195,female,71,[0],2,1,2
1197,female,33,"[0, 9, 6]",9,3,3
1211,male,59,"[1, 3, 6, 7]",4,4,2
1220,male,25,"[0, 1, 9]",6,3,3
1237,male,41,"[0, 1, 2, 3, 6, 9]",0,6,1
1271,male,51,"[9, 2]",3,2,2
1281,female,12,[1],4,1,2
1284,male,1,[1],0,1,1
1288,female,8,[5],3,1,2
1294,female,28,"[1, 6]",6,2,3
1303,female,48,"[0, 1, 3, 5]",1,4,1
1314,male,1,[0],2,1,2
1350,male,28,"[0, 7]",3,2,2
1353,male,29,"[0, 9, 3, 7]",5,4,2
1360,male,20,[0],5,1,2
1363,female,13,[6],2,1,2
1403,female,80,[8],1,1,1
1432,male,36,"[1, 3, 5, 6, 7]",2,5,2
1433,male,40,"[0, 3, 5, 6, 7, 8]",3,6,2
1451,male,16,"[0, 2]",1,2,1
1463,male,74,"[4, 7]",2,2,2
1464,female,16,[9],2,1,2
1466,male,72,[4],6,1,3
1475,male,51,"[9, 5]",1,2,1
1493,male,4,"[1, 7]",3,2,2
1496,male,37,"[8, 9, 5, 6]",6,4,3
1526,female,35,"[1, 2, 5, 6, 8]",0,5,1
1538,female,7,[3],2,1,2
1546,male,69,[1],5,1,2
1548,male,70,[5],2,1,2
1560,male,33,"[0, 2, 4, 5]",7,4,3
1562,female,41,"[2, 7]",3,2,2
1574,male,75,[6],1,1,1
1577,male,79,[9],3,1,2
1582,female,39,"[3, 5, 6, 7]",1,4,1
1611,female,45,"[0, 3, 5]",0,3,1
1616,male,14,[9],2,1,2
1626,male,10,[4],0,1,1
1642,female,49,"[5, 7]",1,2,1
1646,female,24,"[1, 5, 6, 7, 8, 9]",4,6,2
1650,male,41,"[1, 2, 7]",1,3,1
1665,male,37,"[0, 3, 5, 6]",11,4,3
1686,female,24,"[9, 2, 4, 5]",0,4,1
1698,male,9,[9],5,1,2
1707,female,36,"[2, 4, 6]",4,3,2
1718,male,53,"[5, 6]",1,2,1
1723,female,8,[8],5,1,2
1748,female,10,[1],1,1,1
1749,male,3,[5],1,1,1
1762,male,72,"[5, 7]",3,2,2
1767,male,43,"[9, 2, 5, 1]",0,4,1
1771,male,23,"[8, 1, 6]",10,3,3
1785,female,35,"[0, 8, 5]",11,3,3
1795,male,8,[5],1,1,1
1796,female,52,"[8, 3, 5]",4,3,2
1799,male,39,"[1, 2, 4, 8, 9]",0,5,1
1806,female,15,[5],0,1,1
1820,male,76,[6],1,1,1
1837,male,13,[6],1,1,1
1843,male,45,"[1, 6, 7]",2,3,2
1859,female,65,[2],5,1,2
1869,female,64,[9],3,1,2
1888,female,23,"[1, 4, 5, 6, 7, 8]",0,6,1
1900,female,24,"[9, 2, 5, 7]",1,4,1
1901,female,47,"[2, 3]",2,2,2
1910,male,73,[8],1,1,1
1925,male,42,"[0, 9, 2, 5]",0,4,1
1927,female,35,"[0, 1, 2, 3, 8]",1,5,1
1930,male,57,"[8, 9, 4, 1]",6,4,3
1934,female,27,"[0, 1, 2, 4, 5, 6]",6,6,3
1936,male,49,"[3, 4]",0,2,1
1946,male,55,"[9, 3, 4, 7]",3,4,2
1957,female,76,[4],5,1,2
1974,male,37,"[9, 4]",0,2,1
1987,male,40,"[8, 9, 2, 7]",5,4,2
2011,female,4,[2],0,1,1
2022,female,80,[6],5,1,2
2050,female,15,[4],0,1,1
2063,male,35,"[0, 8, 2, 5]",12,4,3
2071,male,6,[6],0,1,1
2073,female,36,"[9, 2]",6,2,3
2076,male,13,[5],6,1,3
2077,female,50,"[1, 5]",2,2,2
2079,male,9,[9],1,1,1
2084,female,79,[4],1,1,1
2121,female,5,[4],5,1,2
2129,male,36,"[1, 4]",0,2,1
2138,male,28,"[1, 2, 3, 5, 6, 9]",8,6,3
2146,female,63,"[0, 6, 7]",1,3,1
2152,male,2,[7],5,1,2
2156,male,52,"[8, 1, 7]",3,3,2
2157,male,3,[1],0,1,1
2158,male,17,"[0, 6]",0,2,1
2161,female,9,[2],1,1,1
2179,female,23,"[1, 2, 5, 6]",2,4,2
2213,female,18,"[9, 7]",1,2,1
2215,male,40,"[3, 4, 7, 8, 9]",4,5,2
2225,male,21,"[0, 3, 5]",3,3,2
2245,female,78,[0],4,1,2
2246,female,45,"[8, 0, 3]",1,3,1
2257,male,47,"[9, 6, 7]",3,3,2
2262,female,16,[6],0,1,1
2277,male,66,[9],2,1,2
2290,female,76,[3],0,1,1
2294,male,28,"[2, 3]",10,2,3
2296,male,40,"[0, 8, 4, 6]",1,4,1
2297,female,2,[5],0,1,1
2311,male,23,"[0, 1, 6, 7, 8]",1,5,1
2315,female,45,"[3, 4]",2,2,2
2366,male,68,"[1, 4, 5]",1,3,1
2372,female,42,"[2, 3]",0,2,1
2378,female,79,"[1, 4]",1,2,1
2403,female,6,[9],0,1,1
2404,female,63,"[0, 4]",3,2,2
2430,male,8,[4],1,1,1
2441,male,44,"[2, 4, 5, 7, 9]",2,5,2
2442,female,77,[5],0,1,1
2448,male,71,"[0, 5]",1,2,1
2475,female,54,"[8, 4, 7]",5,3,2
2505,male,79,"[3, 6]",0,2,1
2506,female,70,"[8, 5]",1,2,1
2507,female,18,[4],6,1,3
2549,male,79,[6],0,1,1
2553,female,17,[3],0,1,1
2556,female,5,"[1, 2]",1,2,1
2558,female,16,[9],1,1,1
2559,male,63,[1],0,1,1
2581,female,27,"[1, 6]",2,2,2
2588,male,77,[0],0,1,1
2589,female,37,"[0, 1, 4, 5, 7, 9]",0,6,1
2609,male,8,[6],0,1,1
2612,female,70,[4],1,1,1
2631,female,67,[2],2,1,2
2636,female,80,[3],7,1,3
2644,male,74,[4],2,1,2
2651,male,18,[1],2,1,2
2658,female,68,[8],2,1,2
2659,female,23,"[1, 2, 6, 9]",3,4,2
2687,male,70,"[2, 4]",0,2,1
2717,female,58,"[1, 7]",4,2,2
2727,male,36,"[1, 2, 4, 6]",2,4,2
2729,female,33,"[1, 3, 6, 9]",3,4,2
2739,female,37,"[0, 9, 4, 7]",8,4,3
2748,female,32,"[9, 5]",2,2,2
2761,male,24,"[4, 6, 7]",1,3,1
2773,male,68,[3],1,1,1
2786,male,56,"[1, 5, 6, 8, 9]",0,5,1
2797,male,32,"[8, 3, 6]",2,3,2
2802,female,42,[4],0,1,1
2804,female,39,"[8, 3, 6, 7]",0,4,1
2838,male,14,"[9, 3]",5,2,2
2845,male,52,"[3, 4, 7]",0,3,1
2858,male,53,"[0, 8]",0,2,1
2860,male,2,[9],3,1,2
2874,female,30,"[8, 3, 5, 6]",4,4,2
2883,male,23,"[0, 2]",1,2,1
2885,female,47,[9],0,1,1
2887,female,13,[9],2,1,2
2917,male,3,[8],9,1,3
2933,female,45,"[0, 1]",2,2,2
2945,female,69,[3],2,1,2
2948,female,57,"[0, 1, 5]",2,3,2
2959,female,42,"[8, 4, 5]",3,3,2
2974,female,22,"[0, 1, 2]",4,3,2
2977,male,41,"[1, 3, 9, 7]",0,4,1
2995,female,49,"[0, 5, 6, 7, 9]",7,5,3
3001,female,46,"[8, 0, 1]",7,3,3
3009,female,46,"[8, 2, 7]",9,3,3
3017,male,2,[9],1,1,1
3019,male,74,[3],0,1,1
3030,female,66,"[8, 2, 7]",3,3,2
3037,female,2,[5],0,1,1
3042,female,38,"[8, 2, 3, 5]",2,4,2
3055,male,18,[1],0,1,1
3057,female,80,[5],3,1,2
3088,female,42,"[0, 3, 5, 6, 7]",1,5,1
3101,male,12,[5],0,1,1
3105,male,55,"[2, 5]",0,2,1
3108,female,51,"[2, 6]",3,2,2
3109,female,77,[9],0,1,1
3130,female,56,[9],8,1,3
3145,female,56,"[8, 6, 7]",5,3,2
3146,female,17,"[6, 7]",2,2,2
3174,male,26,"[9, 6]",2,2,2
3175,female,14,[0],0,1,1
3178,male,20,[5],1,1,1
3182,female,29,"[8, 0, 4, 7]",0,4,1
3192,male,15,[4],1,1,1
3216,female,44,"[8, 0, 3, 5]",3,4,2
3228,female,23,"[1, 2, 5, 8, 9]",1,5,1
3232,male,75,[3],6,1,3
3262,male,50,"[0, 3, 7]",5,3,2
3264,male,45,[3],5,1,2
3269,female,73,[7],2,1,2
3276,female,48,"[8, 0, 2, 4]",0,4,1
3278,female,76,[9],2,1,2
3283,male,16,[9],5,1,2
3303,male,29,"[1, 5]",3,2,2
3310,male,26,"[0, 2, 5, 6, 7]",8,5,3
3343,female,47,"[0, 5, 6, 7]",1,4,1
3368,female,50,"[1, 3, 4, 6, 9]",4,5,2
3376,male,55,"[0, 3]",5,2,2
3382,male,58,[4],1,1,1
3423,female,57,"[5, 6]",0,2,1
3430,male,38,"[4, 6, 7]",5,3,2
3435,male,68,"[1, 7]",0,2,1
3437,male,48,"[0, 3, 6]",4,3,2
3449,male,4,[8],5,1,2
3454,male,23,"[0, 9, 5]",0,3,1
3465,male,55,"[9, 3]",2,2,2
3478,male,48,"[1, 6, 7]",0,3,1
3483,male,2,[4],8,1,3
3510,female,57,"[8, 4, 5, 6]",0,4,1
3518,female,45,"[0, 8]",2,2,2
3524,male,6,"[9, 4]",1,2,1
3536,male,29,"[1, 3, 5, 6, 9]",2,5,2
3564,male,76,[2],2,1,2
3589,female,46,"[0, 3, 4]",2,3,2
3592,female,25,"[9, 1, 6, 7]",5,4,2
3605,male,69,[6],1,1,1
3637,male,43,"[0, 8, 2]",3,3,2
3713,male,14,[7],10,1,3
3744,male,32,"[0, 9, 1, 8]",2,4,2
3745,female,28,"[9, 4, 5]",3,3,2
3763,male,14,[7],0,1,1
3808,female,11,[3],1,1,1
3819,female,15,[2],1,1,1
3832,female,42,"[2, 3, 4, 7, 9]",2,5,2
3836,male,4,[8],3,1,2
3840,female,40,"[0, 4, 6]",1,3,1
3841,male,53,"[1, 2, 3, 5, 6]",0,5,1
3859,female,4,[2],1,1,1
3862,male,59,[7],2,1,2
3864,female,46,[3],5,1,2
3885,female,19,[4],3,1,2
3895,male,18,[6],0,1,1
3902,male,76,[9],0,1,1
3918,female,5,[3],1,1,1
3928,female,46,"[4, 7]",3,2,2
3945,male,6,[0],0,1,1
3954,female,71,"[8, 4]",2,2,2
3956,female,25,"[0, 2]",4,2,2
3965,male,72,[8],2,1,2
3979,female,78,[8],1,1,1
3980,male,35,"[0, 3, 4, 6, 7, 8, 9]",0,7,1
3985,female,70,[8],2,1,2
3993,male,42,"[2, 3, 7]",5,3,2
4009,female,30,"[2, 6, 7]",3,3,2
4010,male,57,"[8, 2, 5]",5,3,2
4031,male,47,"[8, 1, 5, 7]",2,4,2
4040,female,34,"[0, 9, 4]",17,3,3
4055,female,54,"[0, 4, 6]",1,3,1
4067,female,39,"[0, 1, 2, 3, 4]",8,5,3
4075,male,25,"[0, 8, 3, 7]",2,4,2
4080,female,58,"[1, 3, 5]",0,3,1
4083,female,51,"[9, 2]",0,2,1
4107,female,13,[2],1,1,1
4112,male,27,"[8, 9, 2, 1]",3,4,2
4121,male,53,"[0, 3, 4, 5, 7, 8]",4,6,2
4131,female,49,"[8, 4]",2,2,2
4148,male,60,"[3, 4, 5, 7, 9]",3,5,2
4154,male,67,[0],0,1,1
4155,male,15,"[0, 3, 7]",0,3,1
4159,male,76,[8],0,1,1
4164,female,52,"[0, 1, 4, 5, 7]",0,5,1
4169,male,27,"[8, 4, 5, 7]",6,4,3
4172,female,47,"[8, 6]",3,2,2
4199,male,47,[2],3,1,2
4201,female,77,[8],0,1,1
4212,male,69,"[5, 7]",1,2,1
4223,female,20,"[2, 4]",0,2,1
4232,male,75,[3],6,1,3
4244,male,34,"[0, 9, 8]",3,3,2
4257,male,52,"[0, 5, 6]",3,3,2
4277,male,44,"[1, 3]",1,2,1
4282,male,73,[7],3,1,2
4308,female,54,"[1, 3, 6]",2,3,2
4320,female,68,"[9, 3]",1,2,1
4334,female,20,[0],0,1,1
4338,male,79,[0],4,1,2
4347,female,36,"[0, 9, 3]",5,3,2
4348,female,13,[0],2,1,2
4373,female,30,"[1, 2, 3, 7, 8, 9]",1,6,1
4374,female,42,"[8, 4]",2,2,2
4394,male,21,"[0, 1, 2, 3, 8]",2,5,2
4410,male,45,"[0, 4, 5, 7, 8]",1,5,1
4416,male,13,[3],1,1,1
4418,male,4,[2],2,1,2
4422,male,36,"[1, 2, 4, 6, 8]",2,5,2
4423,female,73,[0],3,1,2
4435,female,39,"[0, 5, 6, 7, 8]",0,5,1
4463,female,21,"[2, 3, 6, 8, 9]",2,5,2
4485,female,20,[0],1,1,1
4493,male,20,"[5, 6]",0,2,1
4494,male,62,[6],4,1,2
4495,female,1,[8],0,1,1
4543,female,32,"[1, 3]",1,2,1
4546,female,15,[6],8,1,3
4568,female,7,[9],0,1,1
4569,male,9,[1],2,1,2
4584,male,12,[5],1,1,1
4603,male,64,"[1, 2]",0,2,1
4611,male,6,[5],0,1,1
4619,male,80,"[9, 4]",0,2,1
4624,female,31,"[1, 4, 5, 6, 7]",13,5,3
4626,female,41,"[8, 3, 5]",1,3,1
4645,male,72,[5],0,1,1
4651,male,32,"[0, 1, 4, 7, 9]",2,5,2
4656,female,4,[8],0,1,1
4666,male,80,[7],2,1,2
4667,female,24,"[9, 3, 7]",2,3,2
4670,male,9,[6],0,1,1
4674,female,48,"[9, 4]",1,2,1
4678,male,54,"[8, 2, 4, 6]",2,4,2
4706,male,4,[0],3,1,2
4710,male,45,[8],2,1,2
4719,male,25,"[1, 2, 9, 7]",3,4,2
4727,female,19,[4],0,1,1
4744,female,17,[3],0,1,1
4749,male,60,"[9, 6]",1,2,1
4751,female,6,[0],1,1,1
4770,female,46,"[1, 3, 4, 5, 6, 8]",4,6,2
4778,female,53,"[2, 4]",0,2,1
4799,female,23,"[8, 1, 6]",1,3,1
4802,male,57,"[0, 4, 7]",0,3,1
4828,female,43,"[4, 5, 6]",0,3,1
4836,female,52,"[0, 2, 4]",0,3,1
4839,male,26,"[9, 4, 7]",6,3,3
4855,female,45,"[1, 3, 4]",2,3,2
4878,female,19,[3],1,1,1
4888,female,31,"[0, 1, 2, 3, 4, 8, 9]",2,7,2
4902,female,20,"[2, 3]",1,2,1
4923,female,30,"[0, 1, 6, 7]",1,4,1
4950,female,35,"[8, 1, 2, 4]",4,4,2
4972,female,78,[4],6,1,3
4996,male,58,"[8, 4, 6]",4,3,2
4999,female,34,"[0, 1, 3, 4, 6, 8, 9]",0,7,1
5001,male,13,[0],2,1,2
5006,female,50,[8],0,1,1
5011,female,74,[0],1,1,1
5012,male,46,"[0, 1, 9]",0,3,1
5034,female,52,"[8, 2, 4]",0,3,1
5050,female,26,"[8, 0, 6, 7]",2,4,2
5092,female,50,"[8, 2, 7]",2,3,2
5096,male,10,[3],0,1,1
5104,female,29,"[9, 1, 7]",1,3,1
5110,male,68,[2],1,1,1
5115,female,43,"[9, 2, 3]",6,3,3
5117,male,22,"[0, 4, 6, 7]",9,4,3
5122,male,51,"[0, 3, 6, 7]",2,4,2
5142,male,41,"[8, 1, 4]",2,3,2
5146,female,33,"[2, 3, 4, 6, 7]",3,5,2
5155,female,27,"[8, 2, 6]",1,3,1
5170,male,35,"[8, 1, 2, 6]",0,4,1
5186,male,72,[7],3,1,2
5208,male,27,"[9, 3, 7]",1,3,1
5244,male,80,[0],1,1,1
5253,female,33,"[9, 4, 6]",2,3,2
5256,female,48,"[0, 2, 7]",2,3,2
5282,female,6,[5],2,1,2
5291,male,2,[8],2,1,2
5300,female,36,"[0, 1, 2]",8,3,3
5304,female,59,"[0, 4, 5, 6, 8]",1,5,1
5311,male,21,"[2, 4, 5, 7]",3,4,2
5319,male,7,[7],3,1,2
5320,male,6,[8],0,1,1
5322,female,46,"[0, 9, 4]",2,3,2
5348,male,62,[1],3,1,2
5356,male,13,[2],4,1,2
5362,female,3,[1],7,1,3
5369,male,17,[1],1,1,1
5375,male,5,[4],1,1,1
5380,male,42,[9],3,1,2
5387,female,22,"[0, 1, 3, 6, 7, 8]",1,6,1
5402,female,40,"[1, 4, 5, 6, 8]",1,5,1
5404,male,45,"[8, 9, 2, 6]",5,4,2
5408,female,39,"[0, 8, 5, 6]",2,4,2
5409,male,50,"[9, 2]",2,2,2
5420,male,7,"[2, 4]",1,2,1
5435,male,68,[1],3,1,2
5464,male,55,"[1, 4, 6, 7]",4,4,2
5465,male,57,"[8, 9, 1]",5,3,2
5469,male,42,"[0, 9, 6]",0,3,1
5488,male,69,[8],9,1,3
5492,female,23,"[8, 9, 3, 4]",10,4,3
5497,female,60,"[8, 0, 6]",1,3,1
5507,male,47,"[2, 5]",0,2,1
5509,female,32,"[1, 2, 3, 4, 5, 7, 8]",2,7,2
5513,male,49,"[0, 1, 3]",0,3,1
5522,male,60,[6],3,1,2
5534,female,29,"[8, 2]",1,2,1
5551,male,26,"[0, 1, 3, 4]",1,4,1
5555,male,65,"[0, 5, 6]",7,3,3
5556,female,69,[7],0,1,1
5567,female,40,"[8, 3, 5, 7]",0,4,1
5606,male,62,[3],7,1,3
5642,female,18,"[8, 2]",2,2,2
5647,male,58,[8],1,1,1
